evc,evh,percent
25,22,NA
24,22,NA
20,22,NA
19,22,NA
17,22,NA
12,22,NA
14,21,NA
12,21,NA
11,20,NA
86,9,NA
84,9,NA
85,7,NA
84,6,NA
82,6,NA
87,5,NA
82,5,NA
81,5,NA
83,4,NA
81,4,NA
79,4,NA
75,4,NA
74,4,NA
73,4,NA
87,3,NA
84,3,NA
83,3,NA
77,3,NA
71,3,NA
66,3,NA
63,3,NA
61,3,NA
60,3,NA
59,3,NA
75,2,NA
66,2,NA
63,2,NA
52,2,NA
49,2,NA
44,2,NA
33,2,NA
68,1,NA
63,1,NA
56,1,NA
49,1,NA
45,1,NA
44,1,NA
41,1,NA
34,1,NA
35,0.8,NA
25,0.8,NA
15,21,NA
10,20,NA
85,9,NA
87,8,NA
83,6,NA
80,6,NA
80,5,NA
76,5,NA
72,4,NA
68,4,NA
67,4,NA
64,4,NA
58,3,NA
57,3,NA
56,3,NA
54,3,NA
54,2,NA
48,2,NA
46,2,NA
43,1,NA
29,1,NA
27,1,NA
25,1,NA
21,22,NA
14,20,NA
10,19,NA
86,8,NA
86,7,NA
84,7,NA
82,7,NA
87,6,NA
78,5,NA
69,4,NA
66,4,NA
62,3,NA
55,3,NA
51,3,NA
60,2,NA
51,2,NA
47,2,NA
45,2,NA
41,2,NA
39,2,NA
38,1,NA
31,1,NA
24,1,NA
28,22,NA
27,22,NA
17,21,NA
16,21,NA
12,20,NA
11,19,NA
86,10,NA
83,7,NA
79,5,NA
74,5,NA
73,5,NA
70,5,NA
69,5,NA
70,4,NA
53,3,NA
50,3,NA
37,2,NA
32,2,NA
23,22,NA
13,20,NA
85,10,NA
84,8,NA
81,7,NA
80,7,NA
79,6,NA
78,6,NA
77,6,NA
65,4,NA
42,2,NA
28,1,NA
23,1,NA
29,22,NA
19,21,NA
84,10,NA
87,9,NA
79,8,NA
75,6,NA
58,4,NA
38,2,NA
34,2,NA
26,1,NA
12,15,NA
83,8,NA
82,8,NA
87,7,NA
76,6,NA
74,6,NA
72,5,NA
71,5,NA
62,4,NA
48,3,NA
46,3,NA
21,1,NA
31,22,NA
20,21,NA
15,20,NA
86,11,NA
82,10,NA
78,7,NA
77,7,NA
61,4,NA
49,3,NA
45,3,NA
40,2,NA
30,2,NA
33,22,NA
23,21,NA
18,21,NA
16,20,NA
87,10,NA
80,8,NA
79,7,NA
60,4,NA
36,2,NA
22,1,NA
26,22,NA
11,16,NA
67,5,NA
55,4,NA
52,3,NA
35,2,NA
21,21,NA
11,14,NA
85,11,NA
81,8,NA
75,5,NA
66,5,NA
63,4,NA
59,4,NA
43,3,NA
42,3,NA
31,2,NA
20,1,NA
19,1,NA
32,22,NA
22,21,NA
83,9,NA
82,9,NA
73,6,NA
68,5,NA
30,22,NA
13,19,NA
11,18,NA
11,15,NA
